Designator,Mid X,Mid Y,Layer,Rotation
Q2,26.800mm,-12.900mm,Top,180
C8,40.000mm,-27.000mm,Top,0
C3,30.500mm,-45.000mm,Top,0
D1,10.000mm,-33.000mm,Top,0
Q5,26.800mm,-28.500mm,Top,180
R5,35.000mm,-17.500mm,Top,90
R6,56.000mm,-29.000mm,Top,90
C2,38.000mm,-45.000mm,Top,0
C6,35.000mm,-10.500mm,Top,90
Q4,26.800mm,-23.300mm,Top,180
RP3,29.600mm,-19.300mm,Top,-90
RP1,29.600mm,-8.900mm,Top,-90
RG5,32.200mm,-27.400mm,Top,0
RP4,29.600mm,-24.500mm,Top,-90
R1,44.750mm,-35.900mm,Top,90
U2,46.000mm,-29.000mm,Top,0
R3,35.000mm,-7.500mm,Top,90
C7,50.600mm,-24.300mm,Top,90
RG3,32.200mm,-17.000mm,Top,0
J1,46.000mm,-42.800mm,Top,0
Q1,26.800mm,-7.700mm,Top,180
R7,27.000mm,-42.600mm,Top,0
C4,35.000mm,-4.000mm,Top,90
Q7,56.000mm,-25.500mm,Top,90
RG4,32.200mm,-22.200mm,Top,0
U1,46.500mm,-12.000mm,Top,0
R2,47.750mm,-35.900mm,Top,90
D2,27.000mm,-45.000mm,Top,0
RG2,32.200mm,-11.800mm,Top,0
RP2,29.600mm,-14.100mm,Top,-90
R4,56.000mm,-32.500mm,Top,90
Q6,35.200mm,-14.000mm,Top,90
C5,35.000mm,-20.500mm,Top,90
U3,34.000mm,-38.500mm,Top,0
Q3,26.800mm,-18.100mm,Top,180
RP5,29.600mm,-29.700mm,Top,-90
RG1,32.200mm,-6.600mm,Top,0
